Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Baked Goods,baked,no,no,,no,,na,,no,,14.34
Soda,beverages,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,USDA Certified Organic,na,,no,,60.8
Beef ,meat,no,no,,no,,na,,no,,108.97
Bars ,grocery,no,no,,yes,USDA Certified Organic,no,,no,,16
Bread/Tortilla,grocery,no,no,,no,,na,,no,,27.6
Beverages,beverages,no,no,,no,,na,,no,,239.68
Shrimp,meat,no,no,,no,,na,,no,,286.44
Water,beverages,no,no,,no,,na,,no,,17.84
Grocery,grocery,no,no,,no,,na,,no,,239.64
Water,beverages,no,no,,no,,na,,no,,20.57
Beverages,beverages,no,no,,no,,na,,no,,2134.3
"Chips, and Granola, Larabar ",grocery,no,no,,no,,na,,no,,219
Cough Drops,grocery,no,no,,no,,na,,no,,19.3
Candy,grocery,no,no,,no,,na,,no,,175.58
potato ,grocery,no,no,,no,,na,,no,,215.79
Honest Tea,beverages,no,yes,,yes,,na,,no,,198.25
Soup,grocery,no,no,,no,,na,,no,,21.28
Soy Milk,beverages,no,no,,no,,na,,no,,36.43
Popcorn,grocery,no,no,,no,,na,,no,,4.4
Cheese,dairy,no,no,,no,,no,,no,,572.73
Tofu,produce,no,no,,yes,,na,,no,,151.44
Turkey,poultry,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),72.93
Yogurt,dairy,no,no,,no,,no,,no,,34.2
"Chips, Almond Milk, Granola ",grocery,no,no,,no,,na,,no,,397
"ham, chicken, turkey, corn dog",poultry,no,no,,no,,no,,no,,787.18
Crunch Berry/Froot Loops,grocery,no,no,,no,,na,,yes,"Blue #2, Green #3, Red #3, Yellow #5, Yellow #6",69.17
Dessert ,grocery,no,no,,no,,na,,no,,166.32
Oatmeal ,grocery,no,no,,yes,USDA Certified Organic,na,,no,,48
Tortilla,grocery,no,no,,no,,na,,no,,42.96
Chips,grocery,no,no,,no,,na,,no,,131.61
Cream Cheese,grocery,no,no,,no,,na,,no,,19.22
Cream Cheese ,dairy,no,no,,no,,na,,no,,24.2
Cookie,baked,no,no,,no,,na,,no,,23.07
Hot Sauce,grocery,no,no,,no,,na,,no,,20.42
"Bread, muffins, pumpkin ",baked,no,no,,no,,no,,no,,378.32
Unsweetened Coconut Milk ,grocery,no,no,,no,,na,,no,,34.46
Frozen Fruit,produce,no,no,,no,,na,,no,,208.53
Ice Cream,dairy,no,no,,no,,na,,no,,100
Coffee,beverages,no,no,,yes,USDA Certified Organic,na,,no,,165.91
Pineapple Juice,beverages,no,no,,no,,na,,no,,27.57
Cereal,grocery,no,no,,no,,na,,no,,87.4
Soy Milk,beverages,no,no,,no,,na,,no,,18.94
"Edamame, grapes, corn",grocery,no,no,,no,,na,,no,,114.22
Juice,beverages,no,no,,no,,na,,no,,93.54
Energy Bars,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,11
Energy Bars,grocery,no,no,,yes,,na,,no,,11
condiments,grocery,no,no,,no,,na,,no,,159.73
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,91.08
"chips, tortillas ",grocery,no,no,,no,,na,,no,,132.05
Groceries,grocery,no,no,,no,,na,,no,,716.21
Eggs,eggs,no,no,,yes,,no,,no,,77.72
Eggs,eggs,no,no,,no,,no,,no,,43.61
Grocery,grocery,no,no,,no,,na,,no,,339.76
pasta,grocery,no,no,,no,,na,,no,,86.74
Dried Cranberries,grocery,no,no,,no,,na,,no,,13.91
Oil,grocery,no,no,,no,,na,,no,,250.94
Meat,meat,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),838.74
Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),48.1
Cheese Ravioli,grocery,no,no,,no,,no,,no,,72.4
Gum,grocery,no,no,,no,,na,,no,,79.28
Various groceries,grocery,no,no,,no,,na,,no,,1623.21
"beans, wine, salt, rice ",grocery,no,no,,no,,na,,no,,224.1
Sausage and Turkey,meat,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),138.23
Cheese,dairy,no,no,,no,,no,,no,,849.35
Peanut Butter,grocery,no,no,,no,,na,,no,,66.41
Eggs,eggs,no,no,,yes,,no,,no,,116.58
Eggs,eggs,no,no,,no,,no,,no,,216.56
Sausage,meat,yes,no,,no,,no,,no,,37.33
Ice Cream Cones,grocery,no,no,,no,,na,,no,,43.01
Diced Tomato ,grocery,no,no,,no,,na,,no,,75.6
Hot Sauce ,grocery,no,no,,no,,na,,no,,24.84
Cod and shrimp,fish,no,no,,no,,no,,no,,343.4
Almonds,grocery,no,no,,no,,na,,no,,62.9
"panko, bread crumb",grocery,no,no,,no,,na,,no,,18.39
Tuna,fish,no,no,,no,,no,,no,,67.18
Soy Sauce,grocery,no,no,,no,,na,,no,,11.73
Tortilla wraps,baked,no,no,,no,,na,,no,,64.44
"Toritilla, Naan, bread",baked,no,no,,no,,na,,no,,165.62
Bamboo Shoot ,grocery,no,no,,no,,na,,no,,18.91
Cookies,baked,no,no,,no,,na,,no,,37.78
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,50.24
Kalamata Olive ,grocery,no,no,,no,,na,,no,,16.49
Frozen cranberries,produce,no,no,,no,,na,,no,,16.53
Water and coffee,teacoffee,no,no,,yes,,na,,no,,170.51
Liquid Egg ,grocery,no,no,,no,,na,,no,,216.56
Candy,grocery,no,no,,no,,na,,no,,24.72
Soda,beverages,no,no,,no,,na,,no,,23.66
cheese ,dairy,no,no,,no,,na,,no,,733.05
Yogurt Pretzel,grocery,no,no,,no,,na,,no,,31.03
Frozen foods,grocery,no,no,,no,,na,,no,,1007.67
Shelled Eggs ,eggs,no,no,,yes,,no,,no,,77.72
Tofu,grocery,yes,no,,yes,,na,,no,,75.72
Mixed Groceries,grocery,no,no,,no,,no,,no,,769.77
Grocery,grocery,no,no,,no,,na,,no,,1918.76
Cheese and egg white liquid,dairy,no,no,,no,,no,,no,,972.79
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Tofu,produce,no,no,,yes,USDA Certified Organic,na,,no,,88.34
Hummus,grocery,no,no,,no,,na,,no,,63.12
Frozen Fruit,produce,no,no,,no,,na,,no,,88.18
Raspberries,produce,no,no,,no,,na,,no,,39.15
Pineapple Juice,beverages,no,no,,no,,na,,no,,27.57
Cider Mix,grocery,no,no,,no,,na,,no,,30.07
Cocao Mix Dutch,grocery,no,no,,no,,na,,no,,105.84
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,165.91
Chai,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,77.36
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,379.23
Juice,beverages,no,no,,no,,na,,no,,110.84
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,91.08
Ritz Crackers,grocery,no,no,,no,,na,,no,,21.01
Cranberries,grocery,no,no,,no,,na,,no,,27.82
Concentrate Juice,beverages,no,no,,no,,na,,no,,122.84
"Sodas, Juices, Caffeine Drinks",beverages,no,no,,no,,na,,no,,480.08
Candy,grocery,no,no,,no,,na,,no,,57.96
Gummies,grocery,no,no,,no,,na,,no,,79.78
Honey,grocery,no,no,,no,,na,,no,,30.38
Cranberry Juice,beverages,no,no,,no,,na,,no,,63.45
Peanut Butter,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),66.41
Ketchup,grocery,no,no,,no,,na,,no,,50.24
Steak Sauce,grocery,no,no,,no,,na,,no,,42.25
Raisin Bran,grocery,no,no,,no,,na,,no,,48.77
Thai basil,produce,yes,no,,yes,USDA Certified Organic,na,,no,,48.4
Soy Milk,beverages,no,no,,no,,na,,no,,54.64
Cream Cheese,grocery,no,no,,no,,na,,no,,68.17
Vegetables,produce,no,no,,no,,na,,no,,206.97
Dairy Products,dairy,no,no,,no,,no,,no,,2691.41
Vegetables,produce,no,no,,no,,na,,no,,982.69
Soy and Dairy Milk,dairy,no,no,,yes,USDA Certified Organic,na,,no,,179.44
Bread Products,baked,no,no,,no,,na,,no,,509.26
Fruit,produce,no,no,,no,,na,,no,,803.84
Herbs&Vegetables,produce,no,no,,yes,USDA Certified Organic,na,,no,,282.97
Eggs,eggs,no,no,,no,,na,,no,,30.68
Lettuce,produce,no,no,,no,,na,,no,,211.82
Two-Bite Brownies,baked,no,no,,no,,na,,no,,7.2
Prepared Food,grocery,no,no,,no,,na,,no,,42.16
Juices,beverages,no,no,,no,,na,,no,,74.21
Herbs,grocery,yes,no,,no,,na,,no,,38.79
Herbs,grocery,no,no,,no,,na,,no,,52.75
Arugula,produce,no,no,,yes,USDA Certified Organic,na,,no,,12.43
Mustard Greens,produce,yes,no,,no,,na,,no,,39.46
Fruit,produce,no,no,,no,,na,,no,,189.79
Basil,grocery,yes,no,,no,,na,,no,,57
Tomatoes,produce,no,no,,no,,na,,no,,111.95
Soda,beverages,no,no,,no,,na,,no,,72
Soda,beverages,no,no,,no,,na,,no,,100
Soda,beverages,no,no,,no,,na,,no,,150
Tea,teacoffee,no,no,,no,,na,,no,,65
Snacks,grocery,no,no,,no,,na,,no,,347.39
Cherry Energy Drink,beverages,no,no,,no,,na,,no,,34
Coffee,beverages,no,no,,yes,USDA Certified Organic,na,,no,,76.4
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,39.85
Juice,beverages,no,no,,no,,na,,no,,36
Juice,beverages,no,no,,no,,na,,no,,50
Soda,beverages,no,no,,no,,na,,no,,207
Vegetable Juice,beverages,no,no,,no,,na,,no,,13.75
Drinks,beverages,no,yes,Fair for Life Certified by IMO,yes,USDA Certified Organic,na,,no,,200
Candy and Gum,grocery,no,no,,no,,na,,no,,227.02
Jerky,meat,no,no,,no,,na,,no,,141.76
Drinks,beverages,no,no,,no,,na,,no,,60
Ginger Ale,beverages,no,no,,no,,na,,no,,23
Grapefruit Juice,beverages,no,no,,no,,na,,no,,10
Bagel Bites,grocery,no,no,,no,,na,,no,,67.2
Juice,beverages,no,no,,no,,na,,no,,26
Pancake Mix,grocery,no,no,,no,,na,,no,,6.06
Yerba Mate,beverages,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,60
Tea ,teacoffee,no,no,,no,,na,,no,,80.5
Granulated Sugar,grocery,no,no,,no,,na,,no,,4.2
Expresso,beverages,no,no,,no,,na,,no,,21.84
Hummus and Salsa,grocery,yes,no,,no,,na,,no,,60.04
"Soup, Mac & Cheese, and Pizza Crust",grocery,no,no,,no,,na,,no,,170.28
Energy Bar,grocery,no,no,,no,,na,,no,,64.38
Chips,grocery,no,no,,no,,na,,no,,22.92
Expresso,beverages,no,no,,no,,na,,no,,43.68
Bread,grocery,no,no,,no,,na,,no,,18.37
Almonds,grocery,no,no,,no,,na,,no,,30.7
Eggs,eggs,no,no,,no,,na,,no,,47.97
Energy,grocery,no,no,,yes,USDA Certified Organic,na,,no,,100.05
Condiments,grocery,no,no,,no,,na,,no,,122.98
Yogurt,dairy,no,no,,no,,na,,no,,86.92
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,41.06
Pizza Rolls,grocery,no,no,,no,,na,,no,,38.16
Bread,baked,no,no,,no,,na,,no,,122.94
Vegan Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,na,,no,,24.76
Pumpkin Seeds,produce,no,no,,no,,na,,no,,103.13
Kombucha,beverages,no,no,,yes,USDA Certified Organic,na,,no,,111.6
Hummus,grocery,yes,no,,yes,USDA Certified Organic,na,,no,,83.1
Yogurt,dairy,no,no,,no,,na,,no,,94.28
Cereal,grocery,no,no,,no,,na,,no,,43.8
Yogurt,dairy,no,no,,no,,na,,no,,18.61
Cookie Dough,grocery,no,no,,yes,USDA Certified Organic,yes,USDA Certified Organic ,no,,20.53
Yogurt,dairy,no,no,,no,,yes,Animal Welfare Approved,no,,49.8
Guacamole,grocery,no,no,,no,,na,,no,,52.42
Ice Cream,dairy,no,yes,Fair Trade Certified by Fair Labeling Organization (F.L.O.),yes,USDA Certified Organic,na,,no,,128.12
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,12.94
Vegan Cheese,grocery,no,no,,no,,na,,no,,72.4
Juice,beverages,no,no,,no,,na,,no,,21.77
Juice,beverages,no,no,,yes,USDA Certified Organic,na,,no,,21.77
Goat Cheese,dairy,no,no,,no,,no,,no,,18.2
Prepared Meals,grocery,no,no,,yes,USDA Certified Organic,na,,no,,263.94
Yogurt,dairy,no,no,,no,,no,,no,,235.7
Yogurt,dairy,no,no,,no,,no,,no,,47.14
Acai,produce,no,no,,yes,USDA Certified Organic,na,,no,,16.97
Soy Yogurt,grocery,no,no,,no,,na,,no,,38.16
Prepared Meal,grocery,no,no,,yes,USDA Certified Organic,na,,no,,27.01
Ice Cream,dairy,no,no,,yes,Fair Trade Certified,na,,no,,33.47
Burrito,grocery,no,no,,no,,na,,no,,24.07
Almond Yogurt,grocery,no,no,,no,,na,,no,,18.61
"Ice Cream, Cheese, Cream",dairy,no,no,,no,,no,,no,,206.54
Noodle Bowl,grocery,no,no,,no,,no,,no,,16.77
Ice Cream Sandwiches,grocery,no,no,,no,,na,,no,,60.48
"Wieners, Lunchables",grocery,no,no,,no,,na,,no,,44.74
Pad Thai,grocery,no,no,,no,,na,,no,,42.31
Candy,grocery,no,no,,no,,na,,no,,43.2
Tea,teacoffee,no,no,,no,,na,,no,,107.3
Ice Cream,dairy,no,no,,no,,na,,no,,127.56
Frozen meat entrees,meat,no,no,,yes,USDA Certified Organic,no,,no,,126.78
Prepared Meals,grocery,no,no,,no,,na,,no,,80.84
Chocolate,grocery,no,no,,no,,na,,no,,81.26
Bread Products,baked,no,no,,no,,na,,no,,42.16
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,29.74
Cookies,baked,no,no,,no,,na,,no,,85.15
Beef/Pork,meat,yes,no,,no,,no,,no,,5117
Emergen-C,grocery,no,no,,no,,na,,no,,38.36
Ice Cream Sandwiches,grocery,no,no,,no,,no,,no,,60.48
Chicken,poultry,no,no,,no,,no,,no,,4571
Artesian Water,beverages,no,no,,no,,na,,no,,17.84
Prepared Meals/Snacks,grocery,no,no,,no,,na,,no,,65.41
Alo Beverages,beverages,no,no,,no,,na,,no,,105
Protein Powder,grocery,no,no,,no,,na,,no,,24.17
Popcorn,grocery,no,no,,no,,na,,no,,30.35
"Soup, Popcorn, Chips",grocery,no,no,,no,,na,,no,,31.13
Pasta,grocery,no,no,,no,,na,,no,,21.31
Potato Chips,grocery,no,no,,no,,na,,no,,56.1
Honey,grocery,no,no,,no,,no,,no,,13.41
Pasta,grocery,no,no,,yes,USDA Certified Organic,na,,no,,27.21
Cookies,baked,no,no,,yes,Rainforest Alliance Certified,na,,no,,19.24
Energy Bar,grocery,no,no,,no,,na,,no,,70.2
Cereal,grocery,no,no,,no,,na,,no,,43.84
Lemonade,beverages,no,no,,no,,na,,no,,134.12
Nuts,grocery,no,no,,no,,na,,no,,26.67
Baked Lentil Chips,grocery,no,no,,no,,na,,no,,35.15
Chips,grocery,no,no,,no,,na,,no,,18.7
Snapea Crisps,grocery,no,no,,no,,na,,no,,46.32
Meatless Jerky,grocery,no,no,,no,,na,,no,,23.17
Strawberry Jam,grocery,no,no,,yes,USDA Certified Organic,na,,no,,14.86
Tea,teacoffee,no,no,,no,,na,,no,,59.16
Turkey and Beef Jerky,meat,no,no,,no,,no,,no,,55.44
Chocolate,grocery,no,no,,no,,na,,no,,24.07
Energy Bar,grocery,no,no,,yes,Rainforest Alliance Certified,na,,no,,18.55
Tea,teacoffee,no,no,,no,,na,,no,,38.36
Chips,grocery,no,no,,no,,na,,no,,42.75
Chips,grocery,no,no,,no,,na,,no,,26
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,30.85
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,21.46
Energy Chews,grocery,no,no,,yes,USDA Certified Organic,na,,no,,16.65
Tea,teacoffee,no,no,,no,,na,,no,,17.37
Peanut Butter,grocery,no,no,,no,,na,,no,,106.69
Crackers,grocery,no,no,,no,,na,,no,,36.18
Chips,grocery,no,no,,no,,na,,no,,176.53
Juice,beverages,no,no,,no,,na,,no,,34.59
Energy Bar,grocery,no,no,,no,,na,,no,,16.75
Cookies,grocery,no,no,,no,,na,,no,,25.49
Rice,grocery,no,no,,yes,Fair Trade Certified,na,,no,,13.67
Cereal,grocery,no,no,,no,,na,,no,,19.85
Energy Bar,grocery,no,no,,no,,na,,no,,17.25
Rice Cakes,grocery,no,no,,no,,na,,no,,27.76
Soup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,25.14
Soup,grocery,no,no,,yes,USDA Certified Organic,na,,no,,32.37
Cereal,grocery,no,no,,no,,na,,no,,39.58
Water,beverages,no,no,,no,,na,,no,,19.16
Cheese Puffs,grocery,no,no,,no,,na,,no,,27.59
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,81.24
Ginger Beer,beverages,no,no,,no,,na,,no,,23
Rice,grocery,no,no,,yes,USDA Certified Organic,na,,no,,19.57
Lemonade,beverages,no,no,,yes,USDA Certified Organic,na,,no,,26.57
Almond Milk,beverages,no,no,,no,,na,,no,,37.86
Oregano,grocery,no,no,,yes,USDA Certified Organic,na,,no,,8.81
Chips,grocery,no,no,,no,,na,,no,,79.11
Tea,teacoffee,no,no,,no,,na,,no,,17.29
Prepared Meals,grocery,no,no,,no,,na,,no,,53.89
Granola Bars ,grocery,no,no,,yes,,na,,no,,104.64
Hummus ,grocery,no,no,,no,,na,,no,,14.69
Spread ,grocery,no,no,,no,,na,,no,,52.89
fruit nut mix ,grocery,no,no,,no,,na,,no,,20.98
Edamame ,grocery,no,no,,no,,na,,no,,14.16
crackers,grocery,yes,no,,no,,na,,no,,26.72
Herbs,produce,yes,no,,no,,na,,no,,213.44
Salad Mix ,produce,no,no,,yes,,na,,no,,345.02
"fruits, veggies, berries ",produce,no,no,,no,,na,,no,,9205.89
Juices,beverages,no,no,,no,,na,,no,,648.18
GF Cookies,baked,no,no,,no,,na,,no,,17.03
Honeysticks,grocery,no,no,,yes,USDA Certified Organic,na,,no,,13.41
Pizza Dough,baked,no,no,,no,,no,,no,,908.6
Pumpkins,produce,yes,no,,yes,USDA Certified Organic,na,,no,,167
Canned Tomatoes,produce,yes,no,,yes,USDA Certified Organic,na,,no,,480
Red Bull,beverages,no,no,,no,,na,,no,,347.5
Bread,baked,no,no,,no,,no,,no,,688.96
Muffin Mix,grocery,no,no,,no,,na,,no,,164.16
Energy Bar,grocery,no,no,,yes,USDA Certified Organic,na,,no,,78.5
Coconut Water,beverages,no,no,,yes,USDA Certified Organic,na,,no,,17.69
Olive Oil,grocery,no,no,,no,,na,,no,,37.77
Edamame Snack,grocery,no,no,,no,,na,,no,,21.88
Chips,grocery,no,no,,no,,na,,no,,94.2
Chips,grocery,no,no,,no,,na,,no,,103.72
Energy Chew,grocery,no,no,,yes,USDA Certified Organic,na,,no,,16.65
Cereal,grocery,no,no,,yes,USDA Certified Organic,na,,no,,94.44
Chips,grocery,no,no,,no,,na,,no,,220.56
Energy Bar,grocery,no,no,,no,,na,,no,,16.75
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,51.28
Apple Sauce,grocery,no,no,,yes,USDA Certified Organic,na,,no,,11.82
Nuts,grocery,no,no,,no,,na,,no,,19.85
Energy Bars,grocery,no,no,,yes,USDA Certified Organic,na,,no,,86.25
Brown Rice Cake,grocery,no,no,,yes,USDA Certified Organic,na,,no,,29.31
Lentil Soup,grocery,no,no,,no,,na,,no,,12.95
Salsa,grocery,no,no,,no,,na,,no,,15.79
Pasta Sauce,grocery,no,no,,no,,na,,no,,30.51
Cereal,grocery,no,no,,no,,na,,no,,42.76
Water,beverages,no,no,,no,,na,,no,,38.32
Puffs,grocery,no,no,,no,,na,,no,,82.77
Apple,produce,no,no,,no,,na,,no,,30.66
Rice,grocery,no,no,,no,,na,,no,,17.92
Chips,grocery,no,no,,yes,USDA Certified Organic,na,,no,,82.48
Ginger Ale,beverages,no,no,,no,,na,,no,,23
Tea,teacoffee,no,no,,no,,na,,no,,39.86
Rice,grocery,no,no,,yes,USDA Certified Organic,na,,no,,19.57
Salsa,grocery,no,no,,no,,na,,no,,35.52
Veggie Straws,grocery,no,no,,no,,na,,no,,48.22
Soymilk,beverages,no,no,,no,,na,,no,,75.42
Basil,grocery,no,no,,yes,USDA Certified Organic,na,,no,,8.81
Pita Chips,grocery,no,no,,no,,na,,no,,79.11
Green Jasmine Tea,teacoffee,no,no,,no,,na,,no,,17.64
,,,,,,,,,,,
Juice,beverages,no,no,,no,,na,,no,,964.59
Juice,beverages,no,no,,no,,na,,no,,265.2
Energy Bars,grocery,no,no,,no,,na,,no,,50.4
Iced Tea,teacoffee,no,yes,Fair Trade Certified by Fair Trade USA,yes,Fair Trade Certified,na,,no,,168.96
Sausage,meat,no,no,,no,,no,,no,,192.63
Chicken breast,poultry,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),177.12
Tea,teacoffee,no,no,,no,,no,,no,,42.64
"Soda, Sports Drink, Juice",beverages,no,no,,no,,na,,no,,1206.55
Lemonade Mix,beverages,no,no,,no,,na,,no,,92.34
Honey,grocery,no,no,,no,,no,,no,,65.24
Peanut Butter,grocery,no,no,,no,,na,,no,,11.05
Cookies,baked,no,no,,no,,na,,no,,23.07
Cream Cheese,grocery,no,no,,no,,no,,no,,61.17
Sysco Frozen Foods,grocery,no,no,,no,,no,,no,,1343.32
Cream Cheese,dairy,no,no,,no,,no,,no,,23.5
Yogurt,dairy,no,no,,no,,no,,no,,15
Soy Milk,beverages,no,no,,no,,na,,no,,183.6
Potato Puff,grocery,no,no,,no,,na,,no,,140.52
Ice Cream,dairy,no,no,,no,,no,,no,,25
Ice Cream,dairy,no,no,,no,,no,,no,,43.59
Ice Cream ,dairy,no,no,,no,,no,,no,,24.69
Cheese,dairy,no,no,,no,,no,,no,,541.48
Fruit Ice Cream,dairy,no,no,,no,,no,,no,,80.87
Sysco Grocery,grocery,no,no,,no,,na,,no,,888.8
Cagefree Eggs,eggs,no,no,,no,,yes,"""Cage Free Eggs"" by USDA-AMS",no,,77.72
Water,beverages,no,no,,no,,na,,,,20.64
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,50.48
Tea,teacoffee,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,no,,no,,55.85
"Cheese, Egg liquid",dairy,no,no,,no,,no,,no,,1103.91
Pineapple Juice,beverages,no,no,,no,,na,,no,,27.57
Tortillas,grocery,no,no,,no,,na,,yes,Contains Partially Hydrogenated Oil (trans fats),42.96
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Deli Meats,meat,no,no,,no,,no,,no,,89.65
Juice,beverages,no,no,,no,,na,,no,,381.64
Potstickers and springrolls,grocery,no,no,,no,,no,,no,,143.64
Tea,teacoffee,no,no,,no,,na,,no,,64.6
Frozen Fruit and Veg,produce,no,no,,no,,na,,no,,130.1
Coffee,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,331.82
Frozen Baked Goods,baked,no,no,,no,,na,,no,,200.06
Energy Bars,grocery,no,no,,yes,,na,,no,,12.22
Meat,meat,no,no,,no,,no,,no,,902.63
Chips,grocery,no,no,,no,,na,,no,,24.51
Chips,grocery,no,no,,no,,no,,no,,27.74
Crackers,grocery,no,no,,no,,na,,no,,23.36
Crackers,grocery,no,no,,no,,no,,no,,20.06
Sysco Grocery,grocery,no,no,,no,,na,,no,,103.17
Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,91.08
Frozen fruit,produce,no,no,,no,,na,,no,,174.28
Pineapple Juice,beverages,no,no,,no,,na,,no,,27.57
Pasta and Rice,grocery,no,no,,no,,na,,no,,107.85
Chai concentrate,teacoffee,no,no,,yes,USDA Certified Organic,na,,no,,79.4
Cereal and dried cranberries,grocery,no,no,,no,,na,,no,,193.14
Bars and Granola,grocery,no,no,,yes,USDA Certified Organic,na,,no,,114.84
Cream Cheese,dairy,no,no,,no,,no,,no,,45.34
Canola Oil,grocery,no,no,,no,,na,,no,,174.13
Tomatoes and Banana Peppers,grocery,no,no,,no,,na,,no,,30.1
Sysco Grocery,grocery,no,no,,no,,na,,no,,588.43
Dried Cranberries,grocery,no,no,,no,,na,,yes,Contains Genetically Modified Organisms (GMOs),27.82
"Chocolate Chips, Nonpareil",grocery,no,no,,no,,na,,no,,101.68
Cheese,dairy,no,no,,no,,no,,no,,366.65
Honey,grocery,no,no,,no,,no,,no,,29.9
Meat and Poultry,meat,no,no,,no,,no,,yes,Concentrated Animal Feeding Operation (CAFO),1402.1
Artichoke Hearts,produce,no,no,,no,,na,,no,,60.31
Tortilla wraps,baked,no,no,,no,,na,,no,,21.48
Pan Coating,grocery,no,no,,no,,na,,no,,16.97
"Bacon, Ham, Corned Beef",meat,no,no,,no,,no,,no,,340.76
Ice cream,dairy,no,no,,no,,no,,no,,156.36
Frozen Pizza and Muffin,baked,no,no,,no,,na,,no,,104.11
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,19.71
Frozen Foods,grocery,no,no,,no,,no,,no,,742.03
Pepper,grocery,no,no,,no,,na,,no,,62.09
"Sundried Tomatoes, Bamboo Shoots, Blum Tomatoes, Garbanzo Beans",produce,no,no,,no,,na,,no,,92.95
Udon Noodles,grocery,no,no,,no,,na,,no,,31.83
Cereal,grocery,no,no,,no,,na,,no,,120.28
Cheese,dairy,no,no,,no,,no,,no,,89.31
Tofu,grocery,no,no,,yes,USDA Certified Organic,na,,no,,25.24
Cagefree Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Sysco Grocery,grocery,no,no,,no,,na,,no,,1185.87
"Cheese, cream cheese, and egg white liquid",dairy,no,no,,no,,no,,no,,757.16
Eggs,eggs,no,no,,no,,yes,USDA Cage-Free (eggs),no,,77.72
Cheese,dairy,no,no,,no,,na,,no,,61.71
Eggs,eggs,no,no,,no,,yes,Certified Humane by Humane Farm Animal Care,no,,77.72
Ham,meat,no,no,,no,,na,,no,,45.14
Bacon,meat,no,no,,no,,na,,no,,317.68
Chicken,meat,no,no,,no,,na,,no,,295.2
Turkey,meat,no,no,,no,,na,,no,,94.12
Cod,fish,no,no,,no,,na,,no,,220.85
Tortillas,grocery,no,no,,no,,na,,no,,21.48
Provolone Cheese,dairy,no,no,,no,,na,,no,,50.18
Pepperoni,meat,no,no,,no,,na,,no,,76.07
Potatoes ,grocery,no,no,,no,,na,,no,,378.28
French Sub Roll,grocery,no,no,,no,,na,,no,,167.82
Dinner Roll,grocery,no,no,,no,,na,,no,,141
Naan,baked,no,no,,no,,na,,no,,17.51
Ravioli Cheese,dairy,no,no,,no,,na,,no,,54.3
Corn,grocery,no,no,,no,,na,,no,,24.66
Bakery Dough,baked,no,no,,no,,na,,no,,132.48
Whipped Topping,grocery,no,no,,no,,na,,no,,158.36
Cookie Dough,grocery,no,no,,no,,na,,no,,59.79
Cake,baked,no,no,,no,,na,,no,,67.14
Hummus,grocery,no,no,,no,,na,,no,,42.08
Pita,grocery,no,no,,no,,na,,no,,24.83
Beer Battered Onion Rings,,no,no,,no,,na,,no,,36.99
"Raisins, Sunflower Oil",grocery,no,no,,no,,na,,no,,62.35
Breadstick Dough,grocery,no,no,,no,,na,,no,,62.54
Tortilla Flour,grocery,no,no,,no,,na,,no,,45.1
"Cream Cheese, Yogurt",dairy,no,no,,no,,no,,no,,100.03
Ketchup,grocery,no,no,,no,,na,,yes,Contains high fructose corn syrup,44.46
Frozen Fruit,produce,no,no,,no,,na,,no,,141.12
